"pokemon1","pokemon2","compatibility","viability_ceiling_pokemon2"
"Delphox","Walking Wake",0.06654229015111923,79
"Delphox","Zekrom",0.01181592047214508,72
"Delphox","Azumarill",0.017412934452295303,80
"Delphox","Heatran",0.013059701770544052,82
"Delphox","Chien-Pao",0.04788557067513466,85
"Delphox","Urshifu-Rapid-Strike",0.05970149114727974,85
"Delphox","Magmar",0.026119403541088104,78
"Delphox","Murkrow",0.03544776141643524,75
"Delphox","Porygon2",0.012437811121344566,77
"Delphox","Samurott-Hisui",0.023009950295090675,66
"Delphox","Zacian-Crowned",0.021144278347492218,83
"Delphox","Torkoal",0.024253731593489647,81
"Delphox","Granbull",0.057213928550481796,67
"Delphox","Basculegion-Male",0.021144278347492218,80
"Delphox","Articuno-Galar",0.01181592047214508,73
"Delphox","Metagross",0.016791045665740967,79
"Delphox","Blastoise",0.01803482510149479,74
"Delphox","Sceptile",0.017412934452295303,69
"Delphox","Klefki",0.01181592047214508,79
"Delphox","Vikavolt",0.014925372786819935,73
"Delphox","Ogerpon-Wellspring-Mask",0.01803482510149479,83
"Delphox","Meowstic-Female",0.021144278347492218,74
"Delphox","Garchomp",0.057213928550481796,77
"Delphox","Clefairy",0.011194029822945595,84
"Delphox","Ogerpon-Hearthflame-Mask",0.02674129419028759,85
"Delphox","Archaludon",0.04477611929178238,83
"Delphox","Iron Valiant",0.016791045665740967,83
"Delphox","Zapdos-Galar",0.02363184094429016,77
"Delphox","Meowscarada",0.03171641752123833,74
"Delphox","Koraidon",0.08644278347492218,83
"Delphox","Basculegion-Female",0.01616915501654148,72
"Delphox","Thundurus-Incarnate",0.013681592419743538,81
"Delphox","Amoonguss",0.033582091331481934,85
"Delphox","Glastrier",0.010572139173746109,72
"Delphox","Iron Hands",0.013681592419743538,85
"Delphox","Ursaluna",0.03606965020298958,83
"Delphox","Zoroark-Hisui",0.01803482510149479,76
"Delphox","Raging Bolt",0.02798507548868656,86
"Delphox","Venusaur",0.02798507548868656,80
"Delphox","Raichu",0.02798507548868656,81
"Delphox","Serperior",0.12935324013233185,71
"Delphox","Zamazenta-Crowned",0.028606964275240898,85
"Delphox","Magnezone",0.018656715750694275,74
"Delphox","Dudunsparce-Three-Segment",0.014303482137620449,66
"Delphox","Sneasler",0.06902985274791718,82
"Delphox","Reshiram",0.010572139173746109,84
"Delphox","Exeggutor",0.011194029822945595,74
"Delphox","Dragapult",0.0416666679084301,73
"Delphox","Corviknight",0.021144278347492218,73
"Delphox","Sylveon",0.018656715750694275,72
"Delphox","Rillaboom",0.1181592047214508,85
"Delphox","Kilowattrel",0.010572139173746109,72
"Delphox","Empoleon",0.02363184094429016,69
"Delphox","Tsareena",0.014925372786819935,83
"Delphox","Swampert",0.012437811121344566,74
"Delphox","Rayquaza",0.08582089841365814,77
"Delphox","Incineroar",0.042288556694984436,85
"Delphox","Bellibolt",0.012437811121344566,70
"Delphox","Vaporeon",0.014303482137620449,67
"Delphox","Farigiraf",0.01803482510149479,85
"Delphox","Kyogre",0.04726368188858032,83
"Delphox","Primarina",0.12748755514621735,77
"Delphox","Ninetales-Alola",0.04353233799338341,83
"Delphox","Calyrex-Ice",0.05597015097737312,86
"Delphox","Weezing",0.01803482510149479,80
"Delphox","Roaring Moon",0.021144278347492218,83
"Delphox","Tornadus-Incarnate",0.04477611929178238,83
"Delphox","Whimsicott",0.12935324013233185,86
"Delphox","Greninja",0.01554726343601942,71
"Delphox","Groudon",0.019900497049093246,81
"Delphox","Tatsugiri-Curly",0.017412934452295303,85
"Delphox","Indeedee-Male",0.08768656849861145,78
"Delphox","Tyranitar",0.02238805964589119,75
"Delphox","Annihilape",0.01927860639989376,83
"Delphox","Indeedee-Female",0.2742537260055542,83
"Delphox","Ogerpon-Cornerstone-Mask",0.011194029822945595,84
"Delphox","Sableye",0.08955223858356476,79
"Delphox","Sinistcha",0.024875622242689133,83
"Delphox","Maushold-Family-of-Four",0.0590796023607254,80
"Delphox","Ogerpon",0.05597015097737312,83
"Delphox","Masquerain",0.011194029822945595,63
"Delphox","Calyrex-Shadow",0.03171641752123833,85
"Delphox","Pelipper",0.030472636222839355,84
"Delphox","Bombirdier",0.011194029822945595,65
"Delphox","Miraidon",0.041044775396585464,85
"Delphox","Skeledirge",0.017412934452295303,76
"Delphox","Tinkaton",0.017412934452295303,80
"Delphox","Grimmsnarl",0.048507463186979294,84
"Delphox","Gastrodon",0.05472636967897415,81
"Delphox","Kingambit",0.019900497049093246,82
"Delphox","Flutter Mane",0.03544776141643524,83
"Delphox","Kyurem-White",0.06094527244567871,83
"Rotom-Mow","Swampert",0.02158273383975029,74
"Rotom-Mow","Palkia-Origin",0.023980814963579178,75
"Rotom-Mow","Enamorus-Incarnate",0.011990407481789589,73
"Rotom-Mow","Charizard",0.011990407481789589,74
"Rotom-Mow","Venusaur",0.011990407481789589,80
"Rotom-Mow","Hatterene",0.016786571592092514,79
"Rotom-Mow","Drifblim",0.016786571592092514,78
"Rotom-Mow","Entei",0.019184652715921402,81
"Rotom-Mow","Flutter Mane",0.04076738655567169,83
"Rotom-Mow","Slither Wing",0.02158273383975029,69
"Rotom-Mow","Giratina-Origin",0.035971224308013916,77
"Rotom-Mow","Ogerpon-Wellspring-Mask",0.011990407481789589,83
"Rotom-Mow","Groudon",0.035971224308013916,81
"Rotom-Mow","Annihilape",0.02158273383975029,83
"Rotom-Mow","Cresselia",0.016786571592092514,83
"Rotom-Mow","Pelipper",0.019184652715921402,84
"Rotom-Mow","Sneasler",0.09112709760665894,82
"Rotom-Mow","Volcarona",0.014388489536941051,81
"Rotom-Mow","Gyarados",0.035971224308013916,73
"Rotom-Mow","Talonflame",0.028776979073882103,81
"Rotom-Mow","Stonjourner",0.30215826630592346,71
"Rotom-Mow","Dialga-Origin",0.019184652715921402,77
"Rotom-Mow","Pachirisu",0.035971224308013916,76
